ACS_CODE_1,Cadaster_1,Cadaster_A,District_1,District_A,Governorat,Governor_1,zone_numbe,UN_Habitat,Comment
10999,Beirut Central District,??? ?????,Beirut,?????,Beirut,?????,1,Not residential,
10450,Marfa' foncière,????,Beirut,?????,Beirut,?????,2,None poor,
10350,Bachoura foncière,??????,Beirut,?????,Beirut,?????,3,None poor,
10450,Marfa' foncière,????,Beirut,?????,Beirut,?????,4,Half poor/half not poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,5,Not residential,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,6,Not residential,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,7,Majority poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,8,All poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,9,Majority poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,10,Half poor/half not poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,11,Half poor/half not poor,
10610,Mdaouar foncière,????,Beirut,?????,Beirut,?????,12,Half poor/half not poor,
10510,Saifi foncière,????,Beirut,?????,Beirut,?????,13,Minority poor,
10510,Saifi foncière,????,Beirut,?????,Beirut,?????,14,None poor,
10510,Saifi foncière,????,Beirut,?????,Beirut,?????,15,Minority poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,16,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,17,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,18,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,19,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,20,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,21,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,22,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,23,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,24,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,25,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,26,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,27,Not residential,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,28,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,29,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,30,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,31,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,32,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,33,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,34,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,35,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,36,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,37,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,38,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,39,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,40,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,41,Majority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,42,Half poor/half not poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,43,Half poor/half not poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,44,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,45,Half poor/half not poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,46,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,47,Half poor/half not poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,48,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,49,None poor,
10550,Rmeil foncière,????,Beirut,?????,Beirut,?????,50,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,51,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,52,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,53,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,54,None poor,
10510,Saifi foncière,????,Beirut,?????,Beirut,?????,55,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,56,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,57,None poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,58,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,59,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,60,Half poor/half not poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,61,Majority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,62,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,63,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,64,Minority poor,
10650,Achrafieh foncière,????????,Beirut,?????,Beirut,?????,65,None poor,
10350,Bachoura foncière,??????,Beirut,?????,Beirut,?????,66,Majority poor,
10350,Bachoura foncière,??????,Beirut,?????,Beirut,?????,67,Minority poor,
10350,Bachoura foncière,??????,Beirut,?????,Beirut,?????,68,Half poor/half not poor,
10350,Bachoura foncière,??????,Beirut,?????,Beirut,?????,69,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,70,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,71,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,72,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,73,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,74,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,75,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,76,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,77,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,78,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,79,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,80,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,81,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,82,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,83,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,84,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,85,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,86,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,87,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,88,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,89,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,90,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,91,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,92,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,93,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,94,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,95,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,96,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,97,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,98,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,99,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,100,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,101,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,102,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,103,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,104,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,105,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,106,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,107,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,108,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,109,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,110,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,111,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,112,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,113,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,114,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,115,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,116,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,117,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,118,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,119,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,120,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,121,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,122,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,123,Majority poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,124,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,125,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,126,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,127,All poor,
22111,Bourj Hammoud,??? ?????,El Meten,?????,Mount Lebanon,??? ?????,128,Half poor/half not poor,
